Python,SQL,ML,React,Docker,Career
8,8,2,5,5,Backend Developer
0,4,10,3,6,Full Stack Developer
10,10,8,2,8,ML Engineer
2,0,5,10,1,Full Stack Developer
6,5,5,0,6,Full Stack Developer
10,5,6,1,0,Full Stack Developer
6,5,8,5,8,Full Stack Developer
10,6,6,10,0,Frontend Developer
3,1,5,8,10,Full Stack Developer
7,10,3,9,8,Frontend Developer
6,8,7,4,3,Data Scientist
2,0,8,6,6,Full Stack Developer
7,8,8,8,2,ML Engineer
4,5,9,1,5,Full Stack Developer
7,3,3,7,8,Frontend Developer
5,3,7,7,3,Frontend Developer
10,6,10,5,10,ML Engineer
6,8,10,9,4,Data Scientist
9,2,1,3,9,Full Stack Developer
1,9,3,8,8,Backend Developer
2,2,3,9,4,Full Stack Developer
1,1,7,3,9,Full Stack Developer
5,2,3,1,2,Full Stack Developer
8,0,4,6,4,Full Stack Developer
1,1,5,8,1,Full Stack Developer
5,1,10,2,0,Full Stack Developer
3,2,0,0,1,Full Stack Developer
6,6,3,10,3,Frontend Developer
8,8,10,7,10,ML Engineer
7,3,6,7,1,Frontend Developer
2,6,8,1,7,Full Stack Developer
8,1,2,0,8,Full Stack Developer
0,7,7,6,9,Data Scientist
9,6,0,9,1,Frontend Developer
6,4,7,2,1,Full Stack Developer
8,3,5,6,0,Full Stack Developer
1,9,9,10,0,Data Scientist
8,4,4,6,9,Full Stack Developer
7,0,6,9,5,Frontend Developer
5,4,4,0,7,Full Stack Developer
6,6,0,2,6,Full Stack Developer
1,3,5,10,0,Full Stack Developer
3,7,9,10,4,Data Scientist
8,9,9,4,0,ML Engineer
3,5,9,4,2,Full Stack Developer
7,0,7,9,10,ML Engineer
10,3,5,8,0,Frontend Developer
3,8,6,6,2,Data Scientist
1,0,4,8,3,Full Stack Developer
3,8,5,7,3,Data Scientist
6,1,9,0,6,Full Stack Developer
7,3,10,7,5,ML Engineer
1,5,10,8,8,Full Stack Developer
0,8,7,8,3,Data Scientist
8,1,1,2,3,Full Stack Developer
4,2,6,1,10,Full Stack Developer
8,2,9,7,4,ML Engineer
9,3,6,2,4,Full Stack Developer
3,2,1,10,5,Full Stack Developer
5,2,9,0,1,Full Stack Developer
5,6,7,10,0,Frontend Developer
5,7,6,0,8,Data Scientist
9,9,0,0,9,Backend Developer
3,4,9,5,6,Full Stack Developer
5,0,9,1,9,Full Stack Developer
8,2,6,10,6,Frontend Developer
3,3,9,0,10,Full Stack Developer
8,9,1,0,2,Full Stack Developer
10,3,4,3,1,Full Stack Developer
7,8,8,5,9,ML Engineer
3,5,10,0,6,Full Stack Developer
3,8,2,8,6,Backend Developer
10,6,10,9,8,ML Engineer
10,7,9,6,8,ML Engineer
3,1,4,10,9,Full Stack Developer
7,5,5,10,0,Frontend Developer
9,10,7,7,6,ML Engineer
2,7,5,5,8,Data Scientist
3,5,0,4,0,Full Stack Developer
3,2,8,4,8,Full Stack Developer
7,1,1,7,5,Frontend Developer
2,7,8,0,6,Data Scientist
9,3,5,8,2,Frontend Developer
8,1,4,2,6,Full Stack Developer
9,1,7,5,9,ML Engineer
3,5,5,2,3,Full Stack Developer
6,3,3,6,4,Full Stack Developer
10,3,0,1,6,Full Stack Developer
6,2,3,4,8,Full Stack Developer
1,5,5,0,4,Full Stack Developer
5,5,1,9,6,Frontend Developer
2,3,2,9,9,Full Stack Developer
1,2,9,7,1,Full Stack Developer
4,4,8,2,8,Full Stack Developer
2,7,9,8,9,Data Scientist
1,0,4,1,8,Full Stack Developer
0,7,9,3,4,Data Scientist
7,1,7,5,1,ML Engineer
9,10,7,3,2,ML Engineer
10,7,9,10,7,ML Engineer
0,9,4,5,5,Backend Developer
0,6,4,10,9,Full Stack Developer
1,3,0,1,9,Full Stack Developer
6,4,10,3,7,Full Stack Developer
2,1,1,6,9,Full Stack Developer
1,1,9,5,4,Full Stack Developer
1,6,1,2,5,Full Stack Developer
8,1,3,3,6,Full Stack Developer
9,4,10,7,8,ML Engineer
9,3,2,6,6,Full Stack Developer
0,10,6,0,6,Data Scientist
8,6,10,3,0,ML Engineer
3,4,7,9,5,Full Stack Developer
2,7,4,9,1,Full Stack Developer
10,2,2,6,7,Full Stack Developer
9,5,2,8,0,Frontend Developer
4,8,1,10,0,Full Stack Developer
4,5,3,7,9,Full Stack Developer
10,0,0,1,8,Full Stack Developer
3,10,0,1,5,Backend Developer
2,7,7,9,5,Data Scientist
6,3,4,0,4,Full Stack Developer
4,8,6,10,5,Data Scientist
9,7,1,0,1,Full Stack Developer
1,10,0,9,8,Backend Developer
2,10,7,7,9,Data Scientist
8,3,3,0,10,Full Stack Developer
2,1,4,0,5,Full Stack Developer
4,0,2,8,4,Full Stack Developer
9,0,9,4,9,ML Engineer
10,9,2,10,2,Frontend Developer
1,8,2,2,3,Full Stack Developer
2,4,4,6,9,Full Stack Developer
1,1,1,1,2,Full Stack Developer
3,0,2,0,0,Full Stack Developer
9,8,10,9,6,ML Engineer
1,5,10,7,2,Full Stack Developer
7,1,3,1,2,Full Stack Developer
4,3,5,6,2,Full Stack Developer
7,4,1,3,8,Full Stack Developer
1,3,8,3,8,Full Stack Developer
0,8,3,10,2,Full Stack Developer
5,5,4,10,4,Frontend Developer
3,4,0,2,5,Full Stack Developer
4,9,10,5,1,Data Scientist
4,10,4,9,10,Backend Developer
7,1,10,4,1,ML Engineer
5,9,8,4,6,Data Scientist
6,1,9,3,0,Full Stack Developer
5,10,3,3,7,Backend Developer
10,7,10,0,2,ML Engineer
6,10,8,9,5,Data Scientist
1,6,9,0,2,Full Stack Developer
0,0,7,9,6,Full Stack Developer
10,6,7,0,2,ML Engineer
9,6,8,6,9,ML Engineer
7,3,6,4,7,Full Stack Developer
0,4,5,7,9,Full Stack Developer
8,9,6,8,7,Data Scientist
7,10,3,7,1,Frontend Developer
2,2,5,0,6,Full Stack Developer
9,0,4,3,6,Full Stack Developer
7,6,8,9,8,ML Engineer
9,6,7,2,10,ML Engineer
0,10,3,4,5,Backend Developer
0,10,8,10,10,Data Scientist
10,1,2,3,5,Full Stack Developer
1,7,3,5,3,Full Stack Developer
5,6,0,8,3,Frontend Developer
8,5,1,8,5,Frontend Developer
6,9,0,7,1,Frontend Developer
0,4,3,3,4,Full Stack Developer
10,2,5,9,3,Frontend Developer
8,9,6,8,4,Data Scientist
2,4,5,2,2,Full Stack Developer
5,8,5,4,8,Data Scientist
7,9,4,0,5,Backend Developer
4,8,4,2,8,Backend Developer
3,3,2,2,8,Full Stack Developer
2,9,0,0,7,Backend Developer
4,10,2,2,10,Backend Developer
4,9,6,0,1,Data Scientist
7,4,6,1,0,Full Stack Developer
10,8,4,0,10,Backend Developer
5,7,3,6,2,Full Stack Developer
8,7,1,9,5,Frontend Developer
5,9,2,1,10,Backend Developer
10,7,3,5,1,Full Stack Developer
8,3,6,6,9,Full Stack Developer
9,6,0,6,6,Full Stack Developer
5,5,3,1,2,Full Stack Developer
3,5,9,2,4,Full Stack Developer
1,6,2,8,5,Full Stack Developer
1,6,4,10,2,Full Stack Developer
6,4,8,2,8,Full Stack Developer
10,8,6,2,3,Data Scientist
4,8,0,0,0,Full Stack Developer
4,9,10,0,1,Data Scientist
7,5,7,6,8,ML Engineer
5,8,0,1,2,Full Stack Developer
0,10,2,9,9,Backend Developer
7,5,5,3,7,Full Stack Developer
2,3,3,6,7,Full Stack Developer
6,5,6,9,2,Frontend Developer
8,7,3,2,9,Backend Developer
5,5,1,3,1,Full Stack Developer
5,8,2,7,0,Frontend Developer
2,0,3,7,3,Full Stack Developer
9,8,3,7,10,Frontend Developer
9,4,7,6,2,ML Engineer
7,5,4,0,7,Full Stack Developer
6,9,7,1,5,Data Scientist
3,9,5,6,8,Data Scientist
6,1,2,10,5,Frontend Developer
5,5,1,0,5,Full Stack Developer
4,0,8,1,9,Full Stack Developer
8,2,8,10,5,ML Engineer
5,10,6,8,9,Data Scientist
7,3,6,4,8,Full Stack Developer
9,8,9,2,4,ML Engineer
8,10,7,5,10,ML Engineer
8,6,0,8,8,Frontend Developer
1,9,0,7,9,Backend Developer
3,5,6,7,2,Full Stack Developer
6,3,9,0,9,Full Stack Developer
7,9,9,8,0,ML Engineer
5,3,9,0,3,Full Stack Developer
8,5,10,6,7,ML Engineer
1,3,10,10,7,Full Stack Developer
5,9,0,9,4,Frontend Developer
4,7,4,3,9,Backend Developer
3,6,10,9,9,Full Stack Developer
